Name,Type,Role,Country,Description,Supporting_Text
"Green Climate Fund","Organization","Created at COP 16 to provide financial resources for climate mitigation and adaptation in developing nations.","None","An international fund established to channel mitigation and adaptation financing to developing countries.","established a Green Climate Fund for channelling mitigation and adaptation funding to developing nations"
"UNFCCC","Organization","Serves as the procedural framework under which countries submit emissions‑reduction targets.","None","United Nations Framework Convention on Climate Change, the global treaty governing climate negotiations.","They also formally submitted their emissions reductions targets under the UNFCCC process"
"UNEP","Organization","Acts as a global‑level advocate, creating and promoting international environmental agreements and standards, though it faces challenges coordinating action.","International","United Nations Environment Programme, a global-level advocate for the environment that establishes international agreements and standards.","UNEP has acted as a global-level advocate for the environment."
"China","Government","Represents a power base that can act unilaterally to protect its own interests in climate‑change negotiations and other environmental agreements.","China","The People's Republic of China, a major global power with significant influence over international environmental negotiations.","China, the EU, Brazil, India, Japan and the USA each represent power bases that can, and do, act unilaterally to protect their own interests."
"European Union","Organization","Acts as a power base that can act unilaterally to protect its own interests in climate‑change negotiations and other environmental agreements.","European Union","A supranational political and economic union of European states that participates in global environmental governance.","China, the EU, Brazil, India, Japan and the USA each represent power bases that can, and do, act unilaterally to protect their own interests."
"Brazil","Government","Acts as a power base that can act unilaterally to protect its own interests in climate‑change negotiations and other environmental agreements.","Brazil","The Federative Republic of Brazil, a large emerging economy involved in international environmental negotiations.","China, the EU, Brazil, India, Japan and the USA each represent power bases that can, and do, act unilaterally to protect their own interests."
"India","Government","Acts as a power base that can act unilaterally to protect its own interests in climate‑change negotiations and other environmental agreements.","India","The Republic of India, a major developing nation participating in global environmental governance.","China, the EU, Brazil, India, Japan and the USA each represent power bases that can, and do, act unilaterally to protect their own interests."
"Japan","Government","Acts as a power base that can act unilaterally to protect its own interests in climate‑change negotiations and other environmental agreements.","Japan","The State of Japan, an advanced economy involved in international climate and environmental policy.","China, the EU, Brazil, India, Japan and the USA each represent power bases that can, and do, act unilaterally to protect their own interests."
"United States of America","Government","Acts as a power base that can act unilaterally to protect its own interests in climate‑change negotiations and other environmental agreements.","USA","The United States, a leading global power influencing international environmental policy.","China, the EU, Brazil, India, Japan and the USA each represent power bases that can, and do, act unilaterally to protect their own interests."
"Aristotle","Individual","Provided one of the earliest systematic studies of nature, laying a philosophical foundation for later ecological thinking that informs contemporary movements to align human activity with natural systems.","Greece","Ancient Greek philosopher who classified and described the natural world.","Aristotle (384-322 BC) ... classified and described the natural world"
"Theophrastus","Individual","Extended early systematic observation of nature, contributing to the intellectual heritage that underpins modern ecological governance.","Greece","Ancient Greek philosopher and student of Aristotle, known for his works on plants and natural history.","Theophrastus (c. 371‑c. 287 BC) classified and described the natural world"
"Hippocrates","Individual","Introduced the concept of environmental determinants of health, a precursor to planetary health approaches that integrate nature’s wellbeing with human wellbeing.","Greece","Ancient Greek physician who linked climate to human health.","Hippocrates (c. 460‑c. 370 BC) depicted the impact of climate on human health"
"Pliny the Elder","Individual","Compiled comprehensive knowledge of natural entities, creating a reference tradition that later scholars used to assess human‑nature relationships.","Roman Empire (Italy)","Roman author of the encyclopaedia *Historia Naturalis*.","the Roman Pliny the Elder (AD 23‑79) wrote Historia Naturalis, an encyclopaedia which sought to catalogue all the entities found in nature"
"John Ray","Individual","Advanced the scientific study of nature in the Enlightenment, influencing later ecological thought that supports governance for nature’s wellbeing.","United Kingdom","English naturalist who authored *The Wisdom of God Manifested in the Works of the Creation*.","The English naturalist John Ray (1627‑1705) called his popular study of the natural world The Wisdom of God Manifested in the Works of the Creation (1691)"
"Carl Linnaeus","Individual","Established a taxonomic framework that positioned humans within the natural world, a key conceptual shift for modern ecological and planetary‑health policies.","Sweden","Swedish botanist who created the modern system of biological classification.","the Swedish naturalist Carl Linnaeus (1707‑78) attributed his system of classifying species of plants and animals to God's design"
"Pehr Kalm","Individual","Documented early human impacts on wildlife, providing empirical evidence for the need to account for nature’s wellbeing in settlement and resource policies.","Sweden","Finnish‑Swedish botanist and explorer who traveled in North America.","Pehr Kalm (1716‑79) studied with Linnaeus and later travelled in North America, where he linked a decline in the abundance of wildlife to settlers' hunting techniques"
"Alexander von Humboldt","Individual","Pioneered interdisciplinary understanding of how terrain and climate shape ecosystems, informing later governance frameworks that consider biophysical contexts.","Germany","German explorer and naturalist who integrated physical and biological sciences.","the explorer and naturalist Alexander von Humboldt (1769‑1859) combined the physical and natural sciences to explain the impact of terrain and climate on plants"
"Thomas Malthus","Individual","Highlighted resource constraints on population growth, a principle that underlies contemporary sustainability and planetary‑health assessments.","United Kingdom","English economist and demographer known for his theory of population limits.","Thomas Malthus (1766‑1834) set out how population growth was mediated by limits to resources"
"Charles Darwin","Individual","Provided a scientific basis for understanding species interdependence, essential for ecosystem‑based management and nature‑centric policies.","United Kingdom","English naturalist who formulated the theory of evolution by natural selection.","Charles Darwin (1809‑82) developed his theory of evolution"
"Ernst Haeckel","Individual","Introduced the discipline that explicitly studies organism‑environment relationships, forming the conceptual core of planetary health governance.","Germany","German biologist who coined the term “ecology”.","Ernst Haeckel (1834‑1919) introduced the term 'ecology' to describe the relations between organisms and their environment"
"George Perkins Marsh","Individual","Argued that human activity is the primary driver of species extinction, influencing early conservation policies that aim to protect nature’s integrity.","United States","American diplomat and early environmental thinker, author of *Man and Nature*.","George Perkins Marsh (1801‑82) published Man and Nature (1864), and argued that humankind was the prime cause of species extinction"
"Henry Thoreau","Individual","Emphasized personal and local ecological awareness, inspiring later grassroots movements that seek harmonious human‑nature relationships.","United States","American naturalist and writer, author of *Walden*.","Henry Thoreau's (1817‑62) exploration of the land surrounding Walden Pond near Concord, Massachusetts in the USA informed his appreciation of natural simplicity, and his views on the ties between people and nature drew upon his understanding of local ecology"
"Peter Kropotkin","Individual","Advanced the idea that cooperation in nature can inform social organization, influencing eco‑social movements that promote collaborative governance of natural resources.","Russia","Russian anarchist and philosopher who wrote *Mutual Aid*.","the Russian anarchist communist Peter Kropotkin (1842‑1921) developed ideas about self‑sufficiency, local organisation and production based on his studies of animal behaviour"
"British Ecological Society","Organization","Provided an institutional platform for early ecologists, facilitating the development of scientific knowledge that underpins modern nature‑centric policy frameworks.","United Kingdom","Professional society founded in the United Kingdom to advance ecological science.","In 1913 the British Ecological Society held its inaugural meeting"
"Ecological Society of America","Organization","Created a network for ecologists in North America, helping translate ecological science into management practices and policy advice for nature’s wellbeing.","United States","American professional association dedicated to the advancement of ecological research and education.","followed two years later by the foundation of the Ecological Society of America"
"Aldo Leopold","Individual","Formulated the land‑ethic concept that frames humans as members of a biotic community, a cornerstone of contemporary planetary‑health and nature‑accounting movements.","United States","American forester, ecologist, and author of *A Sand County Almanac*.","the forester and academic Aldo Leopold (1886‑1948) was one of the first to combine ecological ideas with aesthetic and ethical values ... Leopold set out a land ethic that emphasised harmony between humans, soils, water, plants and animals as a single community"
"Norman Moore","Individual","Guided UK research priorities on persistent pesticides after learning about the Clear Lake study, influencing toxic chemical research and policy.","United Kingdom","Head of the Nature Conservancy's Toxic Chemicals and Wildlife research station at Monks Wood in the UK.","Shortly after the paper was published, it was brought to the attention of Norman Moore (b. 1923), the head of the Nature Conservancy's newly established Toxic Chemicals and Wildlife research station at Monks Wood in the UK."
"Nature Conservancy","NGO","Provided institutional support and research capacity for studying the impacts of persistent pesticides, shaping UK toxic‑chemical research agendas.","United Kingdom (research station), United States (headquarters)","International conservation organization that established a Toxic Chemicals and Wildlife research station in the UK.","Shortly after the paper was published, it was brought to the attention of Norman Moore (b. 1923), the head of the Nature Conservancy's newly established Toxic Chemicals and Wildlife research station at Monks Wood in the UK."
"Rachel Carson","Individual","Raised public awareness of pesticide hazards, testified before US legislative bodies, and catalyzed political attention to chemical pollution.","United States","Biologist and writer who synthesized scientific evidence on pesticide impacts into the book *Silent Spring*.","The Clear Lake study also came to the attention of the biologist and writer Rachel Carson (1907-64) as she gathered research on the widespread use of pesticides."
"John F. Kennedy","Individual","Ordered the US Science Advisory Committee to examine pesticide use in response to the public debate sparked by *Silent Spring*.","United States","President of the United States (1961‑1963).","As a consequence, US President John F. Kennedy ordered his Science Advisory Committee to examine pesticide use (see Chapter 2)."
"Science Advisory Committee","Government","Tasked with reviewing pesticide use after the publication of *Silent Spring* and presidential directive.","United States","Advisory body to the US President on scientific matters.","As a consequence, US President John F. Kennedy ordered his Science Advisory Committee to examine pesticide use (see Chapter 2)."
"US Senate subcommittee","Government","Provided a legislative forum where Rachel Carson testified about pesticide risks, influencing policy deliberations.","United States","A subcommittee of the United States Senate that held hearings on pesticide issues.","Carson was interviewed on news programmes and testified to a subcommittee of the US Senate."
"House of Lords","Government","Raised concerns about large‑scale bird and fox deaths linked to pesticide use, bringing the issue into UK political discourse.","United Kingdom","Upper chamber of the UK Parliament.","In the UK, large-scale bird and fox deaths were raised in the House of Lords."
"Californian Fisheries and Game Department","Government","Commissioned a scientific study that helped stimulate awareness of pesticide hazards among scientists and the American public.","United States","State agency in California responsible for wildlife and fisheries management.","A scientific study for the Californian Fisheries and Game Department played a considerable part in stimulating awareness of the need to act among both the international science community and the American public."
"Rachel Carson","Individual","Authored *Silent Spring*, translating ecological principles into public messages and challenging corporate and scientific practices that harm nature.","US","American marine biologist and author of *Silent Spring*, a seminal work that exposed the dangers of pesticides and sparked the modern environmental movement.","Before Carson completed the book, she wrote to a friend:"
"Ben Metcalfe","Individual","Paid for billboard adverts promoting ecology as a revolutionary idea and helped launch Greenpeace’s early activism.","CA","Canadian journalist (1919‑2003) who became the first chairman of Greenpeace and funded early ecological outreach campaigns.","Ben Metcalfe (1919-2003), a journalist who later became the first chairman of Greenpeace, paid for the posters as he wanted to promote ecology as a revolutionary idea."
"Greenpeace","NGO","Provided an organizational platform for ecological activism; its first chairman was Ben Metcalfe, who used the group to promote ecological awareness.","International","International environmental organization founded in the early 1970s, known for direct‑action campaigns to protect the planet.","Ben Metcalfe (1919-2003), a journalist who later became the first chairman of Greenpeace, paid for the posters as he wanted to promote ecology as a revolutionary idea."
"Edward Goldsmith","Individual","Published *The Ecologist* as a platform for environmental thinking and disseminated the *Blueprint for Survival* manifesto that called for societal change.","GB","British environmentalist (1928‑2009) who founded *The Ecologist* magazine and authored the influential manifesto *A Blueprint for Survival*.","the following year, Edward Goldsmith (1928-2009) published the first edition of a new magazine called The Ecologist as a platform for environmental thinking in the UK."
"The Ecologist","Organization","Served as a platform for environmental thinking and published the *Blueprint for Survival* manifesto, reaching a wide audience.","GB","British environmental magazine founded in 1970 that became a key venue for ecological discourse and advocacy.","the following year, Edward Goldsmith (1928-2009) published the first edition of a new magazine called The Ecologist as a platform for environmental thinking in the UK."
"Paul Sears","Individual","Articulated ecology as a ‘subversive subject’ that critiques humanity’s operations within ecosystems, influencing radical ecological thought.","US","American ecologist (1891‑1990) who emphasized the subversive potential of ecology in critiquing human activities.","For these reasons, the ecologist Paul Sears (1891-1990) described ecology as 'a subversive subject'."
"Murray Bookchin","Individual","Developed a politically revolutionary ecological approach, arguing that social conditions must improve to achieve ecological harmony.","US","American social theorist and ecologist (1921‑2006) who combined anarchist philosophy with ecology to develop radical ecology.","Murray Bookchin (1921-2006) developed a more politically revolutionary approach, in which he combined anarchist political philosophy with ecology in books such as Post-Scarcity Anarchism (1970)."
"Arne Naess","Individual","Introduced the concept of deep ecology, framing nature’s value as intrinsic and influencing the philosophical foundations of the planetary health movement.","NO","Norwegian philosopher (1912‑2009) who coined the term ‘deep ecology’, advocating a biocentric view of nature.","This viewpoint is often described as 'deep ecology' - a term introduced in the early 1970s by the Norwegian philosopher Arne Naess (1912-2009)."
"James Lovelock","Individual","Provided a scientific framework (Gaia hypothesis) that reshaped environmental thinking and informed planetary‑health discourse.","United Kingdom","NASA scientist who formulated the Gaia hypothesis, linking Earth's atmosphere to living processes.","The US National Aeronautics and Space Administration (NASA) scientist James Lovelock (b. 1919) introduced a scientific twist to the biocentric approach to environmentalism when he developed his Gaia hypothesis during the 1970s."
"NASA","Organization","Commissioned Lovelock to investigate life‑detection methods, indirectly fostering the development of the Gaia hypothesis that influences environmental governance.","United States","The United States National Aeronautics and Space Administration, a federal agency that funds and conducts space‑related research.","The US National Aeronautics and Space Administration (NASA) scientist James Lovelock (b. 1919) introduced a scientific twist to the biocentric approach to environmentalism..."
"UK government","Government","Established dedicated environmental institutions (Royal Commission for Environmental Pollution and Department for the Environment) to address pollution and integrate science into policy.","United Kingdom","The central government of the United Kingdom.","It was not until 1970 that the UK government set up the Royal Commission for Environmental Pollution and a Department for the Environment..."
"Royal Commission for Environmental Pollution","Organization","Provided scientific assessment and policy advice on pollution, embedding environmental science in governmental decision‑making.","United Kingdom","A UK public body created to investigate and advise on environmental pollution issues.","It was not until 1970 that the UK government set up the Royal Commission for Environmental Pollution..."
"Department for the Environment","Organization","Coordinated national environmental policy and used scientific data to regulate air, water, soil, and biodiversity.","United Kingdom","A UK government department focused on environmental protection rather than economic interests.","...and a Department for the Environment..."
"US Environmental Protection Agency","Organization","Institutionalised science‑based regulation of pollutants, translating environmental data into enforceable standards.","United States","The United States federal agency tasked with protecting human health and the environment.","...the US administration established the US Environmental Protection Agency."
"UN system","Organization","Endorsed and supported global scientific collaboration and research programmes that inform planetary‑health policies.","International","The United Nations and its affiliated bodies that coordinate international cooperation.","Starting in the late 1960s, the UN system endorsed and supported global collaboration and research programmes such as the Global Atmospheric Research Programme (GARP) and the Global Environment Monitoring System (GEMS)."
"Global Atmospheric Research Programme (GARP)","Organization","Generated scientific knowledge (e.g., satellite observations) that underpins climate and environmental governance.","International","An international research programme under the UN aimed at advancing atmospheric science.","...research programmes such as the Global Atmospheric Research Programme (GARP)..."
"Global Environment Monitoring System (GEMS)","Organization","Provides standardized environmental data that supports policy formulation and assessment of nature’s wellbeing.","International","A UN‑coordinated system for monitoring the state of the global environment.","...research programmes such as ... the Global Environment Monitoring System (GEMS)."
"International Union for Conservation of Nature (IUCN)","Organization","Published Red Data Books of threatened species, providing scientific evidence that underpins biodiversity conservation policies and mobilises political attention to nature's wellbeing.","None","A global authority on the status of the natural world and the measures needed to safeguard it.","International Union for Conservation of Nature (IUCN) published Red Data Books of threatened species"
"World Climate Research Programme","Organization","Established in 1980 to coordinate global research efforts, creating the scientific foundation for climate‑change governance and advocacy.","None","An international programme that coordinates climate research across nations and institutions.","the first World Climate Research Programme was established in 1980"
"Intergovernmental Panel on Climate Change (IPCC)","Organization","Formed to synthesize climate science, its Working Group 1 enabled scientists to share expertise and produce assessments that drive international climate policy and public awareness.","None","A United Nations body that assesses the science related to climate change.","the IPCC was formed a year later"
"Convention on Biological Diversity (CBD)","Organization","Serves as the primary global governance instrument for biodiversity, channeling scientific knowledge into policy commitments that aim to protect nature’s wellbeing.","None","An international treaty adopted at the 1992 Rio Earth Summit to promote the conservation of biodiversity.","through the CBD and the UNFCCC"
"United Nations Framework Convention on Climate Change (UNFCCC)","Organization","Acts as the central governance platform for climate action, translating scientific findings into international agreements and mobilising collective efforts to address climate change.","None","An international environmental treaty that provides the framework for global climate negotiations.","through the CBD and the UNFCCC"
"Robert Angus Smith","Individual","Provided pioneering scientific monitoring and public awareness of acid rain effects, laying groundwork for later policy responses.","United Kingdom","Britain's first official air‑pollution inspector (1817‑84) who monitored sulphuric acid in rain near industrial Manchester and published early findings on acid rain.","Robert Angus Smith (1817-84), Britain's first official air-pollution inspector, monitored the concentration of sulphuric acid in rain near to industrial Manchester and described its effects in his book Air and Rain (1872):"
"Beaver Committee","Organization","Diagnosed the severity of air‑pollution and recommended regulatory action, influencing subsequent legislation.","United Kingdom","A UK‑appointed committee that produced the 1954 Beaver Committee Report on air‑pollution.","The resulting Beaver Committee Report (1954) concluded that levels of air pollution could no longer be tolerated but also observed that 'sulphur dioxide is one of the most harmful of all polluting agents'."
"UK Government","Government","Responded to the Beaver Committee’s recommendations by enacting the 1956 Clean Air Act, establishing smokeless zones and promoting cleaner fuels.","United Kingdom","The central government of the United Kingdom in the 1950s‑1960s.","The UK government responded by passing the 1956 Clean Air Act, which established smokeless zones and encouraged the burning of smokeless fuels."
"Swedish Government","Government","Financed scientific research on acid rain, publicly accused neighboring countries of exporting pollution, and hosted the 1972 Stockholm UNCHE.","Sweden","The national government of Sweden.","Sweden funded scientists to investigate the problem, and in 1971 accused its European neighbours of exporting air pollution to Scandinavia."
"Organisation for Economic Co‑operation and Development (OECD)","Organization","Coordinated a five‑year multinational study (1972‑77) on acid rain involving eleven European countries, producing evidence of transboundary sulphur emissions.","International","An international intergovernmental economic organization headquartered in Paris.","This prompted a five-year study into acid rain by the Organisation for Economic Co‑operation and Development (OECD), in which eleven European countries, including the UK and Sweden, participated (1972-77)."
"US Government","Government","Carried out a joint scientific assessment with Canada on acid‑rain impacts and highlighted the United States as a major sulphur emitter.","United States","The federal government of the United States of America.","Two years later, the US and Canadian governments undertook a similar scientific exercise, concluding that effects on fish, forestry and farming were serious and that the USA was responsible for five times more sulphur emissions than Canada."
"Canadian Government","Government","Participated with the United States in a joint scientific assessment of acid‑rain impacts and advocated for mitigation measures.","Canada","The federal government of Canada.","Two years later, the US and Canadian governments undertook a similar scientific exercise, concluding that effects on fish, forestry and farming were serious and that the USA was responsible for five times more sulphur emissions than Canada."
"German Government","Government","Responded to public outcry over forest damage and a growing green movement by taking action to curb sulphur‑dioxide emissions.","Germany","The federal government of Germany.","Germany, though a large emitter of sulphur dioxide, was stung into action by public reaction to the death of much loved national forests and an increasingly vocal green movement."
"Ohio Governor","Individual","Publicly downplayed state responsibility for acid rain, reflecting political resistance to transboundary pollution controls.","United States","The chief executive of the U.S. state of Ohio (unnamed in the source).","one Ohio governor stated that his state was no more responsible for acid rain than Florida was for hurricanes."
"UK Department of the Environment","Organization","Provided scientific and bureaucratic support for early policy proposals to cut sulphur dioxide emissions, influencing later air‑quality regulation.","United Kingdom","British government department whose scientists and civil servants advocated for reducing sulphur dioxide emissions in the early 1980s.","scientists and civil servants at the UK Department of the Environment were convinced that it was in Britain's interests to reduce sulphur dioxide emissions"
"British government","Government","Formally accepted the scientific link between British air pollution and Scandinavian acid rain in 1986, enabling policy action.","United Kingdom","The central government of the United Kingdom.","It was not until 1986 that the British government finally accepted the link between British air pollution and Scandinavian acid rain."
"President Ronald Reagan","Individual","Led the U.S. administration whose tenure preceded the 1991 air‑quality accord; the change in his administration is noted as a factor in the accord’s signing.","United States","President of the United States from 1981 to 1989.","a change in administration from President Ronald Reagan (1981-89) to President George H. Bush (b. 1924)"
"President George H. Bush","Individual","Head of the U.S. administration under which the 1991 Canada‑USA air quality accord was signed.","United States","President of the United States from 1989 to 1993.","a change in administration from President Ronald Reagan (1981-89) to President George H. Bush (b. 1924)"
"Canada","Government","Co‑signed the 1991 air quality accord with the United States, committing to cross‑border pollution mitigation.","Canada","The federal government of Canada.","An air quality accord between Canada and the USA was signed in 1991"
"United States","Government","Participated in the 1991 air‑quality accord and later adopted a different precautionary approach to GM foods, promoting the concept of substantial equivalence.","United States","The federal government of the United States of America.","In the USA, the precautionary principle is regarded as overly restrictive, supporting a centralised planning rather than a free-market approach. Instead, the US Food and Drink Administration (FDA) introduced scientific criteria called substantial equivalence"
"World Trade Organization (WTO)","Organization","Mediated the trade dispute over GM food between the United States and Europe, applying legal rather than scientific criteria.","International","International body that regulates global trade rules.","This resulted in a trade dispute which was mediated by the WTO on legal rather than scientific lines."
"European Union (EU)","Organization","Implemented a moratorium on the commercial cultivation of GM crops, applying the precautionary principle to protect the environment.","European Union","Supranational political and economic union of European member states.","The EU placed a moratorium on the commercial growing of GM crops on this basis."
"US Food and Drink Administration (FDA)","Organization","Introduced the scientific criterion of substantial equivalence to assess GM products, shaping the regulatory approach to biotechnology in the United States.","United States","U.S. federal agency responsible for protecting public health through regulation of food and drugs.","the US Food and Drink Administration (FDA) introduced scientific criteria called substantial equivalence to identify how similar new products were to existing ones."
"Greenpeace","NGO","Led the campaign to stop the deep‑sea disposal of the Brent Spar oil‑storage buoy, occupying the buoy, conducting on‑site assessments, and generating media attention that pressured Shell and the UK government.","International","An international environmental organization known for direct-action campaigns to protect the environment.","One of the most high-profile uses of science in an environmental campaign was deployed by Greenpeace to stop the deep-sea disposal of the Brent Spar oil-storage buoy in the North Sea in 1995."
"Shell","Organization","Proposed deep‑sea disposal of the Brent Spar buoy as the preferred environmental option and later withdrew the plan after Greenpeace’s campaign and public pressure.","Netherlands","A multinational oil and gas corporation (Royal Dutch Shell).","The Brent Spar was owned by the Shell oil company."
"UK government","Government","Supported Shell’s technical studies and initially endorsed deep‑sea disposal of the Brent Spar, later faced criticism for its handling of the dispute and for criticizing Greenpeace after the campaign.","United Kingdom","The central government of the United Kingdom.","Its decision was supported by technical studies and by the UK government."
"UK scientists","Other","Represent the scientific community whose evidence is cited in debates over the safety of GM crops, highlighting the ongoing scientific uncertainty that fuels policy disputes.","United Kingdom","Scientists based in the United Kingdom who conduct research on genetically modified (GM) crops.","UK scientists are no nearer to proving that GM crops are safe as protesters have found and destroyed every crop trial attempted since 2000."
"Intergovernmental Panel on Climate Change (IPCC)","Organization","Creates and disseminates climate assessment reports that serve as the scientific basis for policy and governance actions on climate change.","International","International body that assesses climate science and produces assessment reports.","When the IPCC was created, its purpose was to make climate science relevant, understandable and clear."
"Global Climate Coalition","Coalition","Challenged the scientific certainty presented in IPCC publications and opposed policy measures aimed at reducing greenhouse‑gas emissions.","United States","An American industrial grouping formed in the early 1990s to represent the interests of fossil‑fuel and related industries.","For much of the 1990s, the Global Climate Coalition, an American industrial grouping formed shortly after the IPCC, challenged the levels of scientific certainty set out in IPCC publications."
"Wall Street Journal","Organization","Published claims that editorial changes to an IPCC report violated its rules, thereby amplifying challenges to the panel’s credibility.","United States","U.S. newspaper that reported on alleged procedural violations in IPCC reports.","In 1995 the Wall Street Journal picked up and published claims that editorial changes to the second report on the science of climate change were in violation of IPCC rules of procedure and would 'deceive policy makers and the public into believing that the scientific evidence shows human activities ..."
"Fred Singer","Individual","Added scientific authority to a stream of challenges against mainstream climate science and the IPCC’s conclusions.","United States","American physicist and academic known for climate‑skeptic positions.","Academics such as the American physicist Fred Singer (b. 1924) and the Danish statistician Bjørn Lomborg (b. 1965) added scientific authority to a continuous stream of challenges to climate science."
"Bjørn Lomborg","Individual","Provided academic support for critiques of climate‑science consensus and IPCC findings.","Denmark","Danish statistician and author who questions the cost‑effectiveness of many climate policies.","Academics such as the American physicist Fred Singer (b. 1924) and the Danish statistician Bjørn Lomborg (b. 1965) added scientific authority to a continuous stream of challenges to climate science."
"Exxon Mobil","Organization","As a member of the Global Climate Coalition, it was publicly challenged by the Royal Society over its stance on climate science.","United States","Multinational oil and gas corporation, the world’s largest publicly traded energy company.","Direct conflict broke out in 2006 when Exxon Mobil, the world's richest company and a member of the Global Climate Coalition, was challenged in an exchange of letters that became public with the Royal Society, the world's oldest scientific academy."
"Royal Society","Organization","Engaged in a public exchange of letters with Exxon Mobil, defending the integrity of climate science and the IPCC process.","United Kingdom","The United Kingdom’s national academy of sciences, the world’s oldest scientific academy.","Direct conflict broke out in 2006 when Exxon Mobil, the world's richest company and a member of the Global Climate Coalition, was challenged in an exchange of letters that became public with the Royal Society, the world's oldest scientific academy."
"Climatic Research Unit (CRU)","Organization","Produced key temperature datasets used in IPCC assessments; its email correspondence was hacked, leading to public controversy and scrutiny of climate‑science practices.","United Kingdom","Research unit at the University of East Anglia that compiles global temperature records.","The challenge to climate science reached a new peak after approximately 1000 emails from the Climatic Research Unit (CRU) at the University of East Anglia (UEA) were hacked and posted on the internet in November 2009."
"University of East Anglia (UEA)","Organization","Commissioned two independent reviews into the science and conduct of CRU following the email leak.","United Kingdom","British university that houses the Climatic Research Unit.","three independent reviews were commissioned: two by UEA into the science undertaken by CRU and the conduct of scientists involved, and one by the British government."
"British government","Government","Commissioned an independent review of the CRU and later a review of the IPCC after the email controversy.","United Kingdom","The United Kingdom’s central government.","three independent reviews were commissioned: two by UEA into the science undertaken by CRU and the conduct of scientists involved, and one by the British government."
"Daily Telegraph","Organization","Reported on the hostile climate‑science environment, shaping public perception of scientists during the controversy.","United Kingdom","The United Kingdom’s most widely circulated broadsheet newspaper.","the Daily Telegraph, the most widely circulated broadsheet in the UK, summarised the atmosphere of hostility, claiming nobody was listening to scientists any more and describing them as 'white-coated prima donnas and narcissists [...] pointy heads in lab coats [who] have reassumed the role of mad cr..."
"IPCC","Organization","Faces dilemmas in communicating climate science to the public and protecting scientists from political controversy.","None","Intergovernmental Panel on Climate Change, the leading global body for assessing climate science.","How the science of climate change can be communicated to a public audience without being misinterpreted or biased by political arguments is one of the major dilemmas facing the IPCC today."
"Royal Society","Organization","Attempted to produce a plain‑English guide to climate change but was forced to alter its wording after internal complaints, illustrating challenges in science communication.","None","The United Kingdom's national academy of sciences, a learned society promoting scientific excellence.","when the Royal Society attempted to write a plain English guide to climate change, it was forced to change its wording following complaints by some of its own members."
"E. O. Wilson","Individual","Provides a scholarly perspective on how new scientific ideas face resistance before gaining acceptance.","None","Renowned American biologist and naturalist, author of influential works on biodiversity and sociobiology.","The biologist E. O. Wilson (b. 1929) has observed that 'any new idea will take some serious hits', but that if sound, ideas will ultimately survive."
"IPCC lead authors","Other","Their limited engagement with popular media has diluted the voice of scientists in public climate debates.","None","Designated scientists responsible for drafting and explaining IPCC assessment reports.","the absence of IPCC lead authors explaining their findings under IPCC auspices through popular media has diluted the voice of scientists in the public debate."
"Adam Smith","Individual","Highlighted rent from land as a primary source of public revenue, emphasizing the economic importance of natural resources in national wealth.","United Kingdom","Scottish economist and author of *The Wealth of Nations*; foundational figure in classical economics.","In The Wealth of Nations Adam Smith (1723-90) described rent from the use of land, the wages of labour and profits of stock as 'the three original sources of all revenue as well as of all exchangeable value.'"
"David Ricardo","Individual","Shifted economic focus toward wage labour and capital stock, contributing to the marginalisation of land as a factor of production in later economic thought.","United Kingdom","British political economist known for the theory of comparative advantage and contributions to classical economics.","as political economists David Ricardo (1772-1823) and, later, Karl Marx (1818-83) set out their work on economics."
"Karl Marx","Individual","Described land as a 'reservoir' of resources, 'powers of nature' and an 'element of production', linking natural resources to industrial and agricultural processes.","Germany","German philosopher, economist, and revolutionary socialist; author of *Das Kapital*.","Karl Marx described land as providing a 'reservoir' of resources for coal and minerals, as 'powers of nature' driving mills, and as the 'element of production' for agriculture."
"Anne-Robert-Jacques Turgot","Individual","Outlined a law of diminishing returns in agriculture, arguing that land productivity has a maximum limit, thereby linking land availability to population and wealth constraints.","France","French economist and statesman, early proponent of the law of diminishing returns in agriculture.","Anne-Robert-Jacques Turgot (1727-81) outlined a law of diminishing returns in agriculture, arguing that there was a maximum point of land productivity that was impossible to surpass."
"Thomas Malthus","Individual","Argued that population growth would be limited by finite land and food supplies, framing early concerns about environmental limits to human wellbeing.","United Kingdom","British scholar and demographer, author of *An Essay on the Principle of Population*.","an idea forcefully argued by Thomas Malthus (1766-1834) in An Essay on the Principle of Population, as it Affects the Future Improvement of Society (1798), Malthus explained that population growth, driven initially by surplus food production, would eventually be constrained by limits to productive l..."
"William Stanley Jevons","Individual","Warned that improvements in fuel efficiency could paradoxically increase total fuel consumption, an early articulation of the rebound effect in environmental economics.","United Kingdom","British economist and logician, early analyst of resource depletion.","In 1865, William Stanley Jevons (1835-82) published The Coal Question: An Inquiry Concerning the Progress of the Nation, and the Probable Exhaustion of our Coal-mines, in which he argued that improvements in fuel efficiency tended to increase, rather than decrease, fuel use: 'It is a confusion of id..."
"John Stuart Mill","Individual","Championed the concept of a stationary state economy and warned against unlimited economic growth, highlighting the ecological costs of relentless industrial expansion.","United Kingdom","British philosopher, political economist, and civil servant.","John Stuart Mill (1806-73) was among the first economists to treat the environment as more than a unit of land or a means of production. In 1862, he published the Principles of Political Economy with some of their Applications to Social Philosophy, in which he championed the 'stationary state econom..."
